experiment,chip,ctl
ENCSR101FJT,https://www.encodeproject.org/files/ENCFF719EAN/@@download/ENCFF719EAN.bam,https://www.encodeproject.org/files/ENCFF817NEK/@@download/ENCFF817NEK.bam
ENCSR101FJT,https://www.encodeproject.org/files/ENCFF694CHQ/@@download/ENCFF694CHQ.bam,https://www.encodeproject.org/files/ENCFF863VMN/@@download/ENCFF863VMN.bam
ENCSR138FUZ,https://www.encodeproject.org/files/ENCFF672FSO/@@download/ENCFF672FSO.bam,https://www.encodeproject.org/files/ENCFF335IPE/@@download/ENCFF335IPE.bam
ENCSR138FUZ,https://www.encodeproject.org/files/ENCFF177GPP/@@download/ENCFF177GPP.bam,https://www.encodeproject.org/files/ENCFF879OQC/@@download/ENCFF879OQC.bam
ENCSR392EAA,https://www.encodeproject.org/files/ENCFF600ZAS/@@download/ENCFF600ZAS.bam,https://www.encodeproject.org/files/ENCFF316UXC/@@download/ENCFF316UXC.bam
ENCSR392EAA,https://www.encodeproject.org/files/ENCFF946ZEF/@@download/ENCFF946ZEF.bam,https://www.encodeproject.org/files/ENCFF939XHK/@@download/ENCFF939XHK.bam
ENCSR459FTB,https://www.encodeproject.org/files/ENCFF688XDE/@@download/ENCFF688XDE.bam,https://www.encodeproject.org/files/ENCFF849LYY/@@download/ENCFF849LYY.bam
ENCSR459FTB,https://www.encodeproject.org/files/ENCFF370YOR/@@download/ENCFF370YOR.bam,https://www.encodeproject.org/files/ENCFF426WJH/@@download/ENCFF426WJH.bam
ENCSR473SUA,https://www.encodeproject.org/files/ENCFF827OOM/@@download/ENCFF827OOM.bam,https://www.encodeproject.org/files/ENCFF425JYG/@@download/ENCFF425JYG.bam
ENCSR473SUA,https://www.encodeproject.org/files/ENCFF466OCY/@@download/ENCFF466OCY.bam,https://www.encodeproject.org/files/ENCFF863STQ/@@download/ENCFF863STQ.bam
ENCSR481YWD,https://www.encodeproject.org/files/ENCFF975XPX/@@download/ENCFF975XPX.bam,https://www.encodeproject.org/files/ENCFF863STQ/@@download/ENCFF863STQ.bam
ENCSR481YWD,https://www.encodeproject.org/files/ENCFF938TLX/@@download/ENCFF938TLX.bam,https://www.encodeproject.org/files/ENCFF425JYG/@@download/ENCFF425JYG.bam
ENCSR514VAY,https://www.encodeproject.org/files/ENCFF319QTJ/@@download/ENCFF319QTJ.bam,https://www.encodeproject.org/files/ENCFF849LYY/@@download/ENCFF849LYY.bam
ENCSR514VAY,https://www.encodeproject.org/files/ENCFF370WJQ/@@download/ENCFF370WJQ.bam,https://www.encodeproject.org/files/ENCFF426WJH/@@download/ENCFF426WJH.bam
ENCSR584GHV,https://www.encodeproject.org/files/ENCFF123GAA/@@download/ENCFF123GAA.bam,https://www.encodeproject.org/files/ENCFF863STQ/@@download/ENCFF863STQ.bam
ENCSR584GHV,https://www.encodeproject.org/files/ENCFF180AFK/@@download/ENCFF180AFK.bam,https://www.encodeproject.org/files/ENCFF425JYG/@@download/ENCFF425JYG.bam
ENCSR620YNB,https://www.encodeproject.org/files/ENCFF264RGM/@@download/ENCFF264RGM.bam,https://www.encodeproject.org/files/ENCFF863VMN/@@download/ENCFF863VMN.bam
ENCSR620YNB,https://www.encodeproject.org/files/ENCFF969RVW/@@download/ENCFF969RVW.bam,https://www.encodeproject.org/files/ENCFF817NEK/@@download/ENCFF817NEK.bam
ENCSR681NOM,https://www.encodeproject.org/files/ENCFF573GQJ/@@download/ENCFF573GQJ.bam,https://www.encodeproject.org/files/ENCFF426WJH/@@download/ENCFF426WJH.bam
ENCSR681NOM,https://www.encodeproject.org/files/ENCFF707LIB/@@download/ENCFF707LIB.bam,https://www.encodeproject.org/files/ENCFF849LYY/@@download/ENCFF849LYY.bam
ENCSR707IUN,https://www.encodeproject.org/files/ENCFF424VMX/@@download/ENCFF424VMX.bam,https://www.encodeproject.org/files/ENCFF939XHK/@@download/ENCFF939XHK.bam
ENCSR707IUN,https://www.encodeproject.org/files/ENCFF451LLN/@@download/ENCFF451LLN.bam,https://www.encodeproject.org/files/ENCFF316UXC/@@download/ENCFF316UXC.bam
ENCSR815ZDS,https://www.encodeproject.org/files/ENCFF295KFF/@@download/ENCFF295KFF.bam,https://www.encodeproject.org/files/ENCFF879OQC/@@download/ENCFF879OQC.bam
ENCSR815ZDS,https://www.encodeproject.org/files/ENCFF592VTW/@@download/ENCFF592VTW.bam,https://www.encodeproject.org/files/ENCFF335IPE/@@download/ENCFF335IPE.bam
ENCSR882ERE,https://www.encodeproject.org/files/ENCFF142DHE/@@download/ENCFF142DHE.bam,https://www.encodeproject.org/files/ENCFF335IPE/@@download/ENCFF335IPE.bam
ENCSR882ERE,https://www.encodeproject.org/files/ENCFF169POV/@@download/ENCFF169POV.bam,https://www.encodeproject.org/files/ENCFF879OQC/@@download/ENCFF879OQC.bam
ENCSR887MXT,https://www.encodeproject.org/files/ENCFF917NVM/@@download/ENCFF917NVM.bam,https://www.encodeproject.org/files/ENCFF316UXC/@@download/ENCFF316UXC.bam
ENCSR887MXT,https://www.encodeproject.org/files/ENCFF604LKK/@@download/ENCFF604LKK.bam,https://www.encodeproject.org/files/ENCFF939XHK/@@download/ENCFF939XHK.bam
ENCSR920BLG,https://www.encodeproject.org/files/ENCFF579IUE/@@download/ENCFF579IUE.bam,https://www.encodeproject.org/files/ENCFF879OQC/@@download/ENCFF879OQC.bam
ENCSR920BLG,https://www.encodeproject.org/files/ENCFF729BKM/@@download/ENCFF729BKM.bam,https://www.encodeproject.org/files/ENCFF335IPE/@@download/ENCFF335IPE.bam
ENCSR996DUT,https://www.encodeproject.org/files/ENCFF488TLJ/@@download/ENCFF488TLJ.bam,https://www.encodeproject.org/files/ENCFF425JYG/@@download/ENCFF425JYG.bam
ENCSR996DUT,https://www.encodeproject.org/files/ENCFF416AFC/@@download/ENCFF416AFC.bam,https://www.encodeproject.org/files/ENCFF863STQ/@@download/ENCFF863STQ.bam
