chip_exp,file.accession,file.download.url
ENCSR000FCB,pool,https://www.encodeproject.org/files/ENCFF616LVN/@@download/ENCFF616LVN.bed.gz
ENCSR000FCC,pool,https://www.encodeproject.org/files/ENCFF495MHZ/@@download/ENCFF495MHZ.bed.gz
ENCSR000FCD,pool,https://www.encodeproject.org/files/ENCFF178MOP/@@download/ENCFF178MOP.bed.gz
ENCSR000FCE,pool,https://www.encodeproject.org/files/ENCFF545VNY/@@download/ENCFF545VNY.bed.gz
ENCSR016UEH,pool,https://www.encodeproject.org/files/ENCFF374HJR/@@download/ENCFF374HJR.bed.gz
ENCSR030OKC,pool,https://www.encodeproject.org/files/ENCFF921XOS/@@download/ENCFF921XOS.bed.gz
ENCSR076YPO,pool,https://www.encodeproject.org/files/ENCFF972LPT/@@download/ENCFF972LPT.bed.gz
ENCSR077DKV,pool,https://www.encodeproject.org/files/ENCFF948TXN/@@download/ENCFF948TXN.bed.gz
ENCSR101FJT,pool,https://www.encodeproject.org/files/ENCFF506FKT/@@download/ENCFF506FKT.bed.gz
ENCSR101FJU,pool,https://www.encodeproject.org/files/ENCFF667SBY/@@download/ENCFF667SBY.bed.gz
ENCSR102KIN,pool,https://www.encodeproject.org/files/ENCFF511QHY/@@download/ENCFF511QHY.bed.gz
ENCSR103SZL,pool,https://www.encodeproject.org/files/ENCFF184XYF/@@download/ENCFF184XYF.bed.gz
ENCSR124BJR,pool,https://www.encodeproject.org/files/ENCFF660VPM/@@download/ENCFF660VPM.bed.gz
ENCSR138FUZ,pool,https://www.encodeproject.org/files/ENCFF485MXM/@@download/ENCFF485MXM.bed.gz
ENCSR140DSL,pool,https://www.encodeproject.org/files/ENCFF939XMX/@@download/ENCFF939XMX.bed.gz
ENCSR155VDK,pool,https://www.encodeproject.org/files/ENCFF126PJF/@@download/ENCFF126PJF.bed.gz
ENCSR157CAU,pool,https://www.encodeproject.org/files/ENCFF220KNX/@@download/ENCFF220KNX.bed.gz
ENCSR189PYJ,pool,https://www.encodeproject.org/files/ENCFF870PWV/@@download/ENCFF870PWV.bed.gz
ENCSR199WXF,pool,https://www.encodeproject.org/files/ENCFF242VUO/@@download/ENCFF242VUO.bed.gz
ENCSR207PFI,pool,https://www.encodeproject.org/files/ENCFF123WEZ/@@download/ENCFF123WEZ.bed.gz
ENCSR219MKK,pool,https://www.encodeproject.org/files/ENCFF468XWV/@@download/ENCFF468XWV.bed.gz
ENCSR219NRT,pool,https://www.encodeproject.org/files/ENCFF699VTO/@@download/ENCFF699VTO.bed.gz
ENCSR221GAN,pool,https://www.encodeproject.org/files/ENCFF470MLY/@@download/ENCFF470MLY.bed.gz
ENCSR224IKA,pool,https://www.encodeproject.org/files/ENCFF560NIM/@@download/ENCFF560NIM.bed.gz
ENCSR251OVJ,pool,https://www.encodeproject.org/files/ENCFF711TMS/@@download/ENCFF711TMS.bed.gz
ENCSR272JAT,pool,https://www.encodeproject.org/files/ENCFF062ARS/@@download/ENCFF062ARS.bed.gz
ENCSR286PCG,pool,https://www.encodeproject.org/files/ENCFF650ELJ/@@download/ENCFF650ELJ.bed.gz
ENCSR321BJQ,pool,https://www.encodeproject.org/files/ENCFF071ZMT/@@download/ENCFF071ZMT.bed.gz
ENCSR330EXS,pool,https://www.encodeproject.org/files/ENCFF814CZI/@@download/ENCFF814CZI.bed.gz
ENCSR331GDC,pool,https://www.encodeproject.org/files/ENCFF434QZL/@@download/ENCFF434QZL.bed.gz
ENCSR331HPA,pool,https://www.encodeproject.org/files/ENCFF116EXQ/@@download/ENCFF116EXQ.bed.gz
ENCSR347NOB,pool,https://www.encodeproject.org/files/ENCFF920HDC/@@download/ENCFF920HDC.bed.gz
ENCSR353HEP,pool,https://www.encodeproject.org/files/ENCFF588UCZ/@@download/ENCFF588UCZ.bed.gz
ENCSR368ZHR,pool,https://www.encodeproject.org/files/ENCFF203CYT/@@download/ENCFF203CYT.bed.gz
ENCSR372GIN,pool,https://www.encodeproject.org/files/ENCFF420YHY/@@download/ENCFF420YHY.bed.gz
ENCSR376WCJ,pool,https://www.encodeproject.org/files/ENCFF231TGQ/@@download/ENCFF231TGQ.bed.gz
ENCSR387SYS,pool,https://www.encodeproject.org/files/ENCFF786WZD/@@download/ENCFF786WZD.bed.gz
ENCSR391IWM,pool,https://www.encodeproject.org/files/ENCFF996RRT/@@download/ENCFF996RRT.bed.gz
ENCSR392EAA,pool,https://www.encodeproject.org/files/ENCFF753QYC/@@download/ENCFF753QYC.bed.gz
ENCSR407BEZ,pool,https://www.encodeproject.org/files/ENCFF974OIC/@@download/ENCFF974OIC.bed.gz
ENCSR410HFN,pool,https://www.encodeproject.org/files/ENCFF756HVY/@@download/ENCFF756HVY.bed.gz
ENCSR412CTM,pool,https://www.encodeproject.org/files/ENCFF966MVC/@@download/ENCFF966MVC.bed.gz
ENCSR444LIN,pool,https://www.encodeproject.org/files/ENCFF428XZH/@@download/ENCFF428XZH.bed.gz
ENCSR445ACU,pool,https://www.encodeproject.org/files/ENCFF543UJL/@@download/ENCFF543UJL.bed.gz
ENCSR452YHM,pool,https://www.encodeproject.org/files/ENCFF423RVT/@@download/ENCFF423RVT.bed.gz
ENCSR459FTB,pool,https://www.encodeproject.org/files/ENCFF745TNJ/@@download/ENCFF745TNJ.bed.gz
ENCSR469WAO,pool,https://www.encodeproject.org/files/ENCFF070KLR/@@download/ENCFF070KLR.bed.gz
ENCSR473SUA,pool,https://www.encodeproject.org/files/ENCFF266ORV/@@download/ENCFF266ORV.bed.gz
ENCSR481YWD,pool,https://www.encodeproject.org/files/ENCFF125YHG/@@download/ENCFF125YHG.bed.gz
ENCSR488EES,pool,https://www.encodeproject.org/files/ENCFF928POR/@@download/ENCFF928POR.bed.gz
ENCSR501DKS,pool,https://www.encodeproject.org/files/ENCFF305ICK/@@download/ENCFF305ICK.bed.gz
ENCSR514VAY,pool,https://www.encodeproject.org/files/ENCFF895YBG/@@download/ENCFF895YBG.bed.gz
ENCSR518WPL,pool,https://www.encodeproject.org/files/ENCFF311LEU/@@download/ENCFF311LEU.bed.gz
